PL_id,home_team,away_team
7894,Aston Villa,Swansea City
7895,Fulham,West Bromwich Albion
7896,Manchester United,Wigan Athletic
7897,Norwich City,West Ham United
7898,Queens Park Rangers,Chelsea
7899,Stoke City,Manchester City
7900,Sunderland,Liverpool
7901,Reading,Tottenham Hotspur
7902,Everton,Newcastle United
7903,Chelsea,Stoke City
7904,Southampton,Aston Villa
7905,Swansea City,Everton
7906,West Bromwich Albion,Reading
7907,West Ham United,Sunderland
7908,Wigan Athletic,Fulham
7909,Liverpool,Manchester United
7910,Manchester City,Arsenal
7911,Newcastle United,Norwich City
7912,Tottenham Hotspur,Queens Park Rangers
7913,Arsenal,Chelsea
7914,Everton,Southampton
7915,Fulham,Manchester City
7916,Manchester United,Tottenham Hotspur
7917,Norwich City,Liverpool
7918,Reading,Newcastle United
7919,Stoke City,Swansea City
7920,Sunderland,Wigan Athletic
7921,Aston Villa,West Bromwich Albion
7922,Queens Park Rangers,West Ham United
7923,Chelsea,Norwich City
7924,Manchester City,Sunderland
7925,Swansea City,Reading
7926,West Bromwich Albion,Queens Park Rangers
7927,West Ham United,Arsenal
7928,Wigan Athletic,Everton
7929,Liverpool,Stoke City
7930,Newcastle United,Manchester United
7931,Southampton,Fulham
7932,Tottenham Hotspur,Aston Villa
7933,Fulham,Aston Villa
7934,Liverpool,Reading
7935,Manchester United,Stoke City
7936,Norwich City,Arsenal
7937,Swansea City,Wigan Athletic
7938,Tottenham Hotspur,Chelsea
7939,West Bromwich Albion,Manchester City
7940,West Ham United,Southampton
7941,Queens Park Rangers,Everton
7942,Sunderland,Newcastle United
7943,Arsenal,Queens Park Rangers
7944,Aston Villa,Norwich City
7945,Manchester City,Swansea City
7946,Reading,Fulham
7947,Stoke City,Sunderland
7948,Wigan Athletic,West Ham United
7949,Chelsea,Manchester United
7950,Everton,Liverpool
7951,Newcastle United,West Bromwich Albion
7952,Southampton,Tottenham Hotspur
7953,Fulham,Everton
7954,Manchester United,Arsenal
7955,Norwich City,Stoke City
7956,Sunderland,Aston Villa
7957,Swansea City,Chelsea
7958,Tottenham Hotspur,Wigan Athletic
7959,West Ham United,Manchester City
7960,Liverpool,Newcastle United
7961,Queens Park Rangers,Reading
7962,West Bromwich Albion,Southampton
7963,Arsenal,Fulham
7964,Aston Villa,Manchester United
7965,Everton,Sunderland
7966,Reading,Norwich City
7967,Southampton,Swansea City
7968,Stoke City,Queens Park Rangers
7969,Wigan Athletic,West Bromwich Albion
7970,Chelsea,Liverpool
7971,Manchester City,Tottenham Hotspur
7972,Newcastle United,West Ham United
7973,Arsenal,Tottenham Hotspur
7974,Liverpool,Wigan Athletic
7975,Manchester City,Aston Villa
7976,Newcastle United,Swansea City
7977,Norwich City,Manchester United
7978,Queens Park Rangers,Southampton
7979,Reading,Everton
7980,West Bromwich Albion,Chelsea
7981,Fulham,Sunderland
7982,West Ham United,Stoke City
7983,Aston Villa,Arsenal
7984,Everton,Norwich City
7985,Manchester United,Queens Park Rangers
7986,Stoke City,Fulham
7987,Sunderland,West Bromwich Albion
7988,Wigan Athletic,Reading
7989,Chelsea,Manchester City
7990,Southampton,Newcastle United
7991,Swansea City,Liverpool
7992,Tottenham Hotspur,West Ham United
7993,Aston Villa,Reading
7994,Sunderland,Queens Park Rangers
7995,Chelsea,Fulham
7996,Everton,Arsenal
7997,Manchester United,West Ham United
7998,Southampton,Norwich City
7999,Stoke City,Newcastle United
8000,Swansea City,West Bromwich Albion
8001,Tottenham Hotspur,Liverpool
8002,Wigan Athletic,Manchester City
8003,Arsenal,Swansea City
8004,Fulham,Tottenham Hotspur
8005,Liverpool,Southampton
8006,Manchester City,Everton
8007,Queens Park Rangers,Aston Villa
8008,Reading,Manchester United
8009,West Bromwich Albion,Stoke City
8010,West Ham United,Chelsea
8011,Norwich City,Sunderland
8012,Newcastle United,Wigan Athletic
8013,Arsenal,West Bromwich Albion
8014,Aston Villa,Stoke City
8015,Southampton,Reading
8016,Sunderland,Chelsea
8017,Swansea City,Norwich City
8018,Wigan Athletic,Queens Park Rangers
8019,Everton,Tottenham Hotspur
8020,Manchester City,Manchester United
8021,West Ham United,Liverpool
8022,Fulham,Newcastle United
8023,Sunderland,Reading
8024,Liverpool,Aston Villa
8025,Manchester United,Sunderland
8026,Newcastle United,Manchester City
8027,Norwich City,Wigan Athletic
8028,Queens Park Rangers,Fulham
8029,Stoke City,Everton
8030,Tottenham Hotspur,Swansea City
8031,West Bromwich Albion,West Ham United
8032,Reading,Arsenal
8033,Liverpool,Fulham
8034,Manchester City,Reading
8035,Newcastle United,Queens Park Rangers
8036,Southampton,Sunderland
8037,Tottenham Hotspur,Stoke City
8038,West Bromwich Albion,Norwich City
8039,West Ham United,Everton
8040,Wigan Athletic,Arsenal
8041,Chelsea,Aston Villa
8042,Swansea City,Manchester United
8043,Aston Villa,Tottenham Hotspur
8044,Everton,Wigan Athletic
8045,Fulham,Southampton
8046,Manchester United,Newcastle United
8047,Norwich City,Chelsea
8048,Queens Park Rangers,West Bromwich Albion
8049,Reading,Swansea City
8050,Stoke City,Liverpool
8051,Sunderland,Manchester City
8052,Arsenal,Newcastle United
8053,Aston Villa,Wigan Athletic
8054,Fulham,Swansea City
8055,Manchester United,West Bromwich Albion
8056,Norwich City,Manchester City
8057,Reading,West Ham United
8058,Stoke City,Southampton
8059,Sunderland,Tottenham Hotspur
8060,Everton,Chelsea
8061,Queens Park Rangers,Liverpool
8062,Manchester City,Stoke City
8063,Southampton,Arsenal
8064,Swansea City,Aston Villa
8065,Tottenham Hotspur,Reading
8066,West Bromwich Albion,Fulham
8067,West Ham United,Norwich City
8068,Wigan Athletic,Manchester United
8069,Chelsea,Queens Park Rangers
8070,Liverpool,Sunderland
8071,Newcastle United,Everton
8072,Aston Villa,Southampton
