season,match_week,date,kickoff,referee,stadium,attendance,home,away,home_score,away_score,home_ht_score,away_ht_score,home_goals,away_goals,home_yellow_pl,away_yellow_pl,home_red_pl,away_red_pl,home_posse,away_posse,home_shotsON,away_shotsON,home_shots,away_shots,home_passes,away_passes,home_corners,away_corners,home_offsides,away_offsides,home_yellows,away_yellows,home_reds,away_reds,home_fouls,away_fouls,home_lineup,away_lineup
2019/20,2,Sat 17 Aug 2019,08:30,Mike Dean,Emirates Stadium- London,Att: 60214,Arsenal,Burnley,2,1,1,1,Alexandre Lacazette 13' - Pierre-Emerick Aubameyang 64' - ,Ashley Barnes 43' - ,Pierre-Emerick Aubameyang - David Luiz - ,Ashley Barnes - ,,,67.5,32.5,9.0,5.0,15.0,18.0,529.0,234.0,10.0,7.0,5.0,1.0,2.0,1.0,0,0,13.0,11.0,Bernd Leno - Sokratis - Ainsley Maitland-Niles - Nacho Monreal - David Luiz - Dani Ceballos - Pierre-Emerick Aubameyang  - Reiss Nelson - Joseph Willock - Matteo Guendouzi - Alexandre Lacazette - ,Nick Pope - Matthew Lowton - James Tarkowski - Ben Mee - Erik Pieters - Jack Cork - Jóhann Gudmundsson - Dwight McNeil - Ashley Westwood - Chris Wood - Ashley Barnes  - 
2019/20,2,Sat 17 Aug 2019,11:00,Martin Atkinson,Villa Park- Birmingham,Att: 40996,Aston Villa,AFC Bournemouth,1,2,0,2,Douglas Luiz 71' - ,Joshua King 2' (pen) - Harry Wilson 12' - ,,Philip Billing - Nathan Aké - ,,,62.6,37.4,7.0,4.0,21.0,12.0,490.0,295.0,10.0,5.0,5.0,2.0,0.0,2.0,0,0,10.0,13.0,Tom Heaton - Neil Taylor - Björn Engels - Ahmed El Mohamady - Tyrone Mings - Douglas Luiz - John McGinn - Jack Grealish - Wesley - Trézéguet - Anwar El Ghazi - ,Aaron Ramsdale - Steve Cook - Nathan Aké - Charlie Daniels - Adam Smith - Jefferson Lerma - Harry Wilson - Ryan Fraser - Philip Billing - Joshua KingPen. Scored - Callum Wilson - 
2019/20,2,Sat 17 Aug 2019,11:00,Anthony Taylor,Amex Stadium- Falmer,Att: 30459,Brighton and Hove Albion,West Ham United,1,1,0,0,Leandro Trossard 65' - ,Chicharito 61' - ,,Arthur Masuaku - Declan Rice - ,,,57.3,42.7,4.0,3.0,16.0,8.0,497.0,377.0,8.0,6.0,2.0,4.0,0.0,2.0,0,0,11.0,10.0,Mat Ryan - Shane Duffy - Lewis Dunk - Dan Burn - Dale Stephens - Solly March - Martín Montoya - Davy Pröpper - Leandro Trossard - Pascal Groß - Glenn Murray - ,Lukasz Fabianski - Angelo Ogbonna - Issa Diop - Ryan Fredericks - Arthur Masuaku - Manuel Lanzini - Robert Snodgrass - Pablo Fornals - Jack Wilshere - Declan Rice - Chicharito - 
2019/20,2,Sun 18 Aug 2019,12:30,Graham Scott,Stamford Bridge- London,Att: 40629,Chelsea,Leicester City,1,1,1,0,Mason Mount 7' - ,Wilfred Ndidi 67' - ,Jorginho - ,,,,50.2,49.8,5.0,3.0,14.0,12.0,454.0,455.0,4.0,5.0,3.0,3.0,1.0,0.0,0,0,9.0,14.0,Kepa Arrizabalaga - Kurt Zouma - Andreas Christensen - César Azpilicueta - Emerson - Jorginho - N'Golo Kanté - Mason Mount - Christian Pulisic - Pedro - Olivier Giroud - ,Kasper Schmeichel - Çaglar Söyüncü - Jonny Evans - Ricardo Pereira - Christian Fuchs - Youri Tielemans - James Maddison - Ayoze Pérez - Hamza Choudhury - Wilfred Ndidi - Jamie Vardy - 
2019/20,2,Sat 17 Aug 2019,11:00,Lee Mason,Goodison Park- Liverpool,Att: 39066,Everton,Watford,1,0,1,0,Bernard 10' - ,,Séamus Coleman - André Gomes - ,Etienne Capoue - José Holebas - Roberto Pereyra - ,,,44.1,55.9,2.0,2.0,12.0,8.0,303.0,388.0,4.0,7.0,3.0,1.0,2.0,3.0,0,0,11.0,11.0,Jordan Pickford - Michael Keane - Lucas Digne - Yerry Mina - Séamus Coleman - Richarlison - Gylfi Sigurdsson - Bernard - André Gomes - Jean-Philippe Gbamin - Dominic Calvert-Lewin - ,Ben Foster - Craig Dawson - Craig Cathcart - Kiko Femenía - José Holebas - Abdoulaye Doucouré - Will Hughes - Etienne Capoue - Roberto Pereyra - Gerard Deulofeu - Troy Deeney - 
2019/20,2,Sat 17 Aug 2019,13:30,Michael Oliver,Etihad Stadium- Manchester,Att: 54503,Manchester City,Tottenham Hotspur,2,2,2,1,Raheem Sterling 20' - Sergio Agüero 35' - ,Erik Lamela 23' - Lucas Moura 56' - ,Raheem Sterling - ,,,,55.4,44.6,10.0,2.0,30.0,3.0,610.0,506.0,13.0,2.0,3.0,1.0,1.0,0.0,0,0,14.0,4.0,Ederson - Kyle Walker - Oleksandr Zinchenko - Aymeric Laporte - Nicolás Otamendi - Raheem Sterling  - Ilkay Gündogan - Rodrigo - Kevin De Bruyne - Bernardo Silva - Sergio Agüero - ,Hugo Lloris - Danny Rose - Toby Alderweireld - Davinson Sánchez - Kyle Walker-Peters - Harry Winks - Erik Lamela - Moussa Sissoko - Christian Eriksen - Tanguy Ndombele - Harry Kane - 
2019/20,2,Sat 17 Aug 2019,11:00,Stuart Attwell,Carrow Road- Norwich,Att: 27059,Norwich City,Newcastle United,3,1,1,0,Teemu Pukki 32'  63'  75' - ,Jonjo Shelvey 90 +3' - ,Max Aarons - ,Joelinton - Paul Dummett - Sean Longstaff - ,,,63.3,36.7,8.0,4.0,15.0,12.0,603.0,336.0,7.0,5.0,2.0,1.0,1.0,3.0,0,0,9.0,11.0,Tim Krul - Max Aarons - Grant Hanley - Jamal Lewis - Ben Godfrey - Tom Trybull - Moritz Leitner - Todd Cantwell - Emiliano Buendía - Marco Stiepermann - Teemu Pukki   - ,Martin Dubravka - Paul Dummett - Fabian Schär - Jamaal Lascelles - Ki Sung-Yueng - Jonjo Shelvey - Matt Ritchie - Isaac Hayden - Emil Krafth - Joelinton - Miguel Almirón - 
2019/20,2,Sun 18 Aug 2019,10:00,David Coote,Bramall Lane- Sheffield,Att: 30197,Sheffield United,Crystal Palace,1,0,0,0,John Lundstram 47' - ,,John Lundstram - George Baldock - Luke Freeman - ,James McCarthy - ,,,42.5,57.5,3.0,4.0,15.0,6.0,354.0,498.0,8.0,4.0,0.0,1.0,3.0,1.0,0,0,16.0,11.0,Dean Henderson - Jack O'Connell - Chris Basham - John Egan - George Baldock - Enda Stevens - John Fleck - John Lundstram  - Oliver Norwood - Callum Robinson - David McGoldrick - ,Vicente Guaita - Joel Ward - Patrick van Aanholt - Scott Dann - Martin Kelly - Luka Milivojevic - Max Meyer - Andros Townsend - James McArthur - Wilfried Zaha - Christian Benteke - 
2019/20,2,Sat 17 Aug 2019,11:00,Andre Marriner,St. Mary's Stadium- Southampton,Att: 31712,Southampton,Liverpool,1,2,0,1,Danny Ings 83' - ,Sadio Mané 45 +1' - Roberto Firmino 71' - ,Oriol Romeu - Moussa Djenepo - ,Trent Alexander-Arnold - ,,,36.2,63.8,3.0,6.0,14.0,15.0,296.0,530.0,5.0,9.0,4.0,1.0,2.0,1.0,0,0,10.0,6.0,Angus Gunn - Maya Yoshida - Jannik Vestergaard - Jan Bednarek - Oriol Romeu - James Ward-Prowse - Ryan Bertrand - Pierre-Emile Højbjerg - Yan Valery - Che Adams - Nathan Redmond - ,Adrián - Virgil van Dijk - Andrew Robertson - Joel Matip - Trent Alexander-Arnold - Georginio Wijnaldum - James Milner - Alex Oxlade-Chamberlain - Roberto Firmino - Sadio Mané - Mohamed Salah - 
2019/20,2,Mon 19 Aug 2019,16:00,Jonathan Moss,Molineux Stadium- Wolverhampton,Att: 31314,Wolverhampton Wanderers,Manchester United,1,1,0,1,Rúben Neves 55' - ,Anthony Martial 27' - ,Rúben Neves - Ryan Bennett - ,Daniel James - Aaron Wan-Bissaka - ,,,34.4,65.6,2.0,2.0,6.0,9.0,350.0,668.0,4.0,6.0,1.0,1.0,2.0,2.0,0,0,17.0,8.0,Rui Patrício - Ryan Bennett - Willy Boly - Conor Coady - Matt Doherty - Rúben Neves  - Jonny - João Moutinho - Leander Dendoncker - Raúl Jiménez - Diogo Jota - ,David de Gea - Victor Lindelöf - Harry Maguire - Luke Shaw - Aaron Wan-Bissaka - Paul Pogba - Marcus Rashford - Jesse Lingard - Daniel James - Scott McTominay - Anthony Martial - 
2019/20,3,Fri 23 Aug 2019,16:00,Michael Oliver,Villa Park- Birmingham,Att: 41922,Aston Villa,Everton,2,0,1,0,Wesley 21' - Anwar El Ghazi 90 +5' - ,,Frederic Guilbert - Trézéguet - ,Dominic Calvert-Lewin - André Gomes - Séamus Coleman - ,,,35.2,64.8,3.0,1.0,7.0,12.0,301.0,539.0,0.0,6.0,8.0,1.0,2.0,3.0,0,0,10.0,18.0,Tom Heaton - Neil Taylor - Björn Engels - Frederic Guilbert - Tyrone Mings - Douglas Luiz - John McGinn - Jack Grealish - Trézéguet - Jota - Wesley - ,Jordan Pickford - Michael Keane - Lucas Digne - Yerry Mina - Séamus Coleman - Richarlison - Gylfi Sigurdsson - Morgan Schneiderlin - Bernard - André Gomes - Dominic Calvert-Lewin - 
2019/20,3,Sun 25 Aug 2019,10:00,Andre Marriner,Vitality Stadium- Bournemouth,Att: 10486,AFC Bournemouth,Manchester City,1,3,1,2,Harry Wilson 45 +3' - ,Sergio Agüero 15'  64' - Raheem Sterling 43' - ,Jefferson Lerma - ,Kyle Walker - Ederson - Nicolás Otamendi - ,,,26.2,73.8,7.0,5.0,10.0,18.0,249.0,728.0,4.0,5.0,2.0,4.0,1.0,3.0,0,0,7.0,13.0,Aaron Ramsdale - Steve Cook - Nathan Aké - Charlie Daniels - Adam Smith - Chris Mepham - Joshua King - Jefferson Lerma - Ryan Fraser - Philip Billing - Callum Wilson - ,Ederson - Kyle Walker - Oleksandr Zinchenko - Aymeric Laporte - Nicolás Otamendi - Ilkay Gündogan - Kevin De Bruyne - David Silva - Raheem Sterling - Sergio Agüero  - Bernardo Silva - 
